table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
cpcms_related_case_data,related_court,3,VARCHAR,NA,661978,64,1,10343.41,FALSE,other
cpcms_related_case_data,related_docket_no,2,VARCHAR,NA,661978,282231,1,2.35,FALSE,key
cpcms_sentence_data,case_disposition,23,VARCHAR,4953192,4953191,130,0.9999997981099864,38101.47,FALSE,other
cpcms_sentence_data,credit_for_time_served,22,DOUBLE,4953192,1456962,1895,0.2941460779230847,768.85,FALSE,drop: many nulls
cpcms_sentence_data,disposing_judge,25,VARCHAR,4953192,4953192,1567,1,3160.94,FALSE,other
cpcms_sentence_data,docket_number,1,VARCHAR,4953192,4953192,1000447,1,4.95,FALSE,key
cpcms_sentence_data,effective_sentence_date,9,VARCHAR,4953192,1919564,8309,0.3875408019717386,231.02,FALSE,drop: many nulls
cpcms_sentence_data,max_days,16,DOUBLE,4953192,4370007,1194,0.882260772447343,3659.97,FALSE,numeric
cpcms_sentence_data,max_hours,17,DOUBLE,4953192,4353222,42,0.8788720485698919,103648.14,FALSE,numeric
cpcms_sentence_data,max_months,15,DOUBLE,4953192,4395401,268,0.8873875674514535,16400.75,FALSE,numeric
cpcms_sentence_data,max_years,14,DOUBLE,4953192,4393618,64,0.8870275975572923,68650.28,FALSE,numeric
cpcms_sentence_data,min_days,12,DOUBLE,4953192,4358935,1189,0.8800254462173079,3666.05,FALSE,numeric
cpcms_sentence_data,min_hours,13,DOUBLE,4953192,4349967,61,0.8782148965757839,71310.93,FALSE,numeric
cpcms_sentence_data,min_months,11,DOUBLE,4953192,4398582,165,0.8880297795845588,26658.07,FALSE,numeric
cpcms_sentence_data,min_years,10,DOUBLE,4953192,4394578,45,0.8872214119703011,97657.29,FALSE,numeric
cpcms_sentence_data,offense_disposition,24,VARCHAR,4953192,4953004,62,0.9999620446774524,79887.16,FALSE,other
cpcms_sentence_data,offense_sequence_number,4,DOUBLE,4953192,4953192,2437,1,2032.5,FALSE,numeric
cpcms_sentence_data,originating_offense_sequence_number,3,DOUBLE,4953192,4953192,2554,1,1939.39,FALSE,numeric
cpcms_sentence_data,otn,2,VARCHAR,4953192,4950442,990233,0.9994448024627351,5,FALSE,key
cpcms_sentence_data,program_type,8,VARCHAR,4953192,4412703,39,0.8908806684659105,113146.23,FALSE,other
cpcms_sentence_data,sentence_conditions,21,VARCHAR,4953192,3387876,659221,0.6839783315486256,5.14,FALSE,other
cpcms_sentence_data,sentence_date,6,VARCHAR,4953192,4953192,985608,1,5.03,FALSE,date
cpcms_sentence_data,sentence_period,7,VARCHAR,4953192,4361543,3148,0.8805519753726486,1385.5,FALSE,other
cpcms_sentence_data,sentence_type,5,VARCHAR,4953192,4953192,7,1,707598.86,FALSE,group: <= 10
cpcms_sentence_data,sentencing_event_type,20,VARCHAR,4953192,4953162,1021,0.9999939432995935,4851.29,FALSE,other
cpcms_sentence_data,sentencing_judge,18,VARCHAR,4953192,4953192,1392,1,3558.33,FALSE,other
cpcms_sentence_data,sentencing_location,19,VARCHAR,4953192,1053320,268,0.21265478907338944,3930.3,FALSE,drop: many nulls
cpcms_sentence_link_data,link_number,4,VARCHAR,NA,1392104,560,1,2485.9,FALSE,other
cpcms_sentence_link_data,linked_docket,3,VARCHAR,NA,1392104,484007,1,2.88,FALSE,key
cpcms_sentence_link_data,primary_docket,2,VARCHAR,NA,1392104,410701,1,3.39,FALSE,key
cpcms_sentence_link_data,sentence_dt,7,VARCHAR,NA,1392104,351897,1,3.96,FALSE,date
cpcms_sentence_link_data,sentence_link_sort,1,VARCHAR,NA,1392104,1392104,1,1,FALSE,likely key
cpcms_sentence_link_data,short_caption,6,VARCHAR,NA,1392104,281291,1,4.95,FALSE,other
cpcms_sentence_link_data,short_display_value,5,VARCHAR,NA,1392104,1114657,1,1.25,FALSE,likely key
mdjs_alias_data,defendant_name,3,VARCHAR,2433284,2433282,1280389,0.9999991780655278,1.9,TRUE,likely key
mdjs_alias_data,docket_number,1,VARCHAR,2433284,2433284,773023,1,3.15,FALSE,key
mdjs_alias_data,otn,2,VARCHAR,2433284,2433128,772914,0.9999358891111765,3.15,FALSE,key
mdjs_attorney_data,active_date,7,VARCHAR,1565695,1554721,390112,0.992990972060331,3.99,FALSE,date
mdjs_attorney_data,address,9,VARCHAR,1565695,1565695,20079,1,77.98,FALSE,other
mdjs_attorney_data,attorney_name,3,VARCHAR,1565695,1565695,9107,1,171.92,FALSE,other
mdjs_attorney_data,attorney_role,5,VARCHAR,1565695,1565695,16,1,97855.94,FALSE,group: <= 30
mdjs_attorney_data,attorney_status,6,VARCHAR,1565695,1565695,2,1,782847.5,FALSE,group: dichotomous
mdjs_attorney_data,city,10,VARCHAR,1565695,1564417,1126,0.9991837490699018,1389.36,FALSE,other
mdjs_attorney_data,docket_number,1,VARCHAR,1565695,1565695,883727,1,1.77,FALSE,key
mdjs_attorney_data,inactive_date,8,VARCHAR,1565695,94741,12083,0.060510508113010515,7.84,FALSE,drop: many nulls
mdjs_attorney_data,otn,2,VARCHAR,1565695,1565469,883599,0.9998556551563363,1.77,FALSE,key
mdjs_attorney_data,state,11,VARCHAR,1565695,1564539,24,0.9992616697377203,65189.12,FALSE,group: <= 30
mdjs_attorney_data,supreme_court_number,4,VARCHAR,1565695,1011296,8703,0.6459086859190327,116.2,FALSE,other
mdjs_attorney_data,zip_code,12,VARCHAR,1565695,1563138,3704,0.9983668594458052,422.01,FALSE,other
mdjs_bail_action_data,bail_action,8,VARCHAR,1232986,1232986,21,1,58713.62,FALSE,group: <= 30
mdjs_bail_action_data,bail_action_authority,7,VARCHAR,1232986,1232986,1414,1,871.98,FALSE,other
mdjs_bail_action_data,bail_action_created_system,10,VARCHAR,1232986,1232986,582,1,2118.53,FALSE,other
mdjs_bail_action_data,bail_action_date,9,VARCHAR,1232986,1232986,1152338,1,1.07,FALSE,date
mdjs_bail_action_data,bail_identifier,3,VARCHAR,1232986,1232986,891330,1,1.38,FALSE,likely key
mdjs_bail_action_data,bail_percentage,6,VARCHAR,1232986,139907,9,0.11347006373146167,15545.22,FALSE,drop: many nulls
mdjs_bail_action_data,bail_set_amount,5,DOUBLE,1232986,1232986,730,1,1689.02,FALSE,numeric
mdjs_bail_action_data,bail_type,4,VARCHAR,1232986,1213031,7,0.9838157124249586,173290.14,FALSE,group: <= 10
mdjs_bail_action_data,docket_number,1,VARCHAR,1232986,1232986,816364,1,1.51,FALSE,key
mdjs_bail_action_data,otn,2,VARCHAR,1232986,1232941,816322,0.9999635032352354,1.51,FALSE,key
mdjs_bail_post_data,bail_identifier,3,VARCHAR,354719,354719,332583,1,1.07,FALSE,likely key
mdjs_bail_post_data,bail_post_created_system,10,VARCHAR,354719,354719,571,1,621.22,FALSE,other
mdjs_bail_post_data,bail_posting_status,4,VARCHAR,354719,354719,2,1,177359.5,FALSE,group: dichotomous
mdjs_bail_post_data,bail_posting_status_date,5,VARCHAR,354719,354719,180736,1,1.96,FALSE,date
mdjs_bail_post_data,docket_number,1,VARCHAR,354719,354719,314324,1,1.13,FALSE,key
mdjs_bail_post_data,otn,2,VARCHAR,354719,354709,314313,0.9999718086710889,1.13,FALSE,key
mdjs_bail_post_data,security_amount,7,DOUBLE,354719,354719,433,1,819.21,FALSE,numeric
mdjs_bail_post_data,security_type,6,VARCHAR,354719,354719,9,1,39413.22,FALSE,group: <= 10
mdjs_bail_post_data,surety_name,9,VARCHAR,354719,354719,199433,1,1.78,FALSE,likely key
mdjs_bail_post_data,surety_type,8,VARCHAR,354719,354719,3,1,118239.67,FALSE,group: <= 10
mdjs_calendar_event_data,attending_judge,7,VARCHAR,3299051,2703477,1052,0.819471114572039,2569.85,FALSE,other
mdjs_calendar_event_data,calendar_event_date,4,DATE,3299051,3299051,4356,1,757.36,FALSE,date
mdjs_calendar_event_data,calendar_event_location,5,VARCHAR,3299051,815497,709,0.24719138928134182,1150.21,FALSE,drop: many nulls
mdjs_calendar_event_data,calendar_event_type,3,VARCHAR,3299051,3299008,29,0.9999869659486925,113758.9,FALSE,group: <= 30
mdjs_calendar_event_data,docket_number,1,VARCHAR,3299051,3299051,956892,1,3.45,FALSE,key
mdjs_calendar_event_data,otn,2,VARCHAR,3299051,3298651,956756,0.9998787530110932,3.45,FALSE,key
mdjs_calendar_event_data,schedule_status,6,VARCHAR,3299051,3299051,4,1,824762.75,FALSE,group: <= 10
mdjs_case_confinement_data,confinement_date,6,VARCHAR,NA,349930,163041,1,2.15,FALSE,date
