table_name,column_name,column_order,data_type,n_with_data,n_distinct,pct_with_data
mdjs_sentence_data,judge_name,15,VARCHAR,22868,350,1
mdjs_sentence_data,offense_disposition,14,VARCHAR,22868,5,1
mdjs_sentence_data,offense_sequence_number,3,DOUBLE,22868,30,1
mdjs_sentence_data,otn,2,VARCHAR,22868,21693,1
mdjs_sentence_data,penalty_event_type,11,VARCHAR,20190,6,0.8828931257652615
mdjs_sentence_data,penalty_type,4,VARCHAR,22868,4,1
mdjs_sentence_data,program_period,6,VARCHAR,1129,7,0.04937029910792374
mdjs_sentence_data,program_type,5,VARCHAR,22868,7,1
mdjs_sentence_data,sentence_conditions,12,VARCHAR,21060,16194,0.9209375546615358
mdjs_sentence_data,sentencing_judge,10,VARCHAR,22868,348,1
mdjs_sentence_data,start_date,7,VARCHAR,19986,3553,0.8739723631275145
