table_name,column_name,column_order,data_type,pct_with_data,n_records,n_distinct
mdjs_sentence_data,sentence_conditions,12,VARCHAR,0.9209375546615358,21060,16194
mdjs_sentence_data,case_disposition,13,VARCHAR,1,22868,5
mdjs_sentence_data,offense_disposition,14,VARCHAR,1,22868,5
mdjs_sentence_data,judge_name,15,VARCHAR,1,22868,350
statute_hierarchy,title_number,1,INTEGER,1,12905,52
statute_hierarchy,title_text,2,VARCHAR,1,12905,53
statute_hierarchy,chapter_number,3,VARCHAR,0.9997675319643549,12902,140
statute_hierarchy,chapter_text,4,VARCHAR,0.9991476172026347,12894,731
statute_hierarchy,offense_section,5,VARCHAR,1,12905,5792
statute_hierarchy,offense_text,6,VARCHAR,0.9996900426191399,12901,9984
statute_hierarchy,section_number,7,VARCHAR,1,12905,4931
statute_hierarchy,section_text,8,VARCHAR,0.9996900426191399,12901,9204
statute_hierarchy,subsection_number,9,VARCHAR,0.07423479271600154,958,67
statute_hierarchy,subsection_text,10,VARCHAR,0.07423479271600154,958,895
